INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
108 ORACHARD STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,06/06/2021,Open,Property Research Required,,,,,,,,,,
134-09 36 ROAD,QUEENS,07 QUEENS,Precinct 109,20,4049690001,06/04/2021,Open,Site downloaded for cleaning,,1030341,216720,,,,,,,
11-36 46 ROAD,QUEENS,02 QUEENS,Precinct 108,26,4000560043,06/02/2021,Open,Site downloaded for cleaning,,998218,210897,,,,,,,
200 KNICKERBOCK AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,05/27/2021,Open,Graffiti Reported,,,,,,,,,,
274-17 Grand Ave,QUEENS,Unspecified QUEENS,Unspecified,,,05/26/2021,Open,Property Research Required,,,,,,,,,,
30-35 34 STREET,QUEENS,01 QUEENS,Precinct 114,22,4006260031,10/14/2021,Open,Site downloaded for cleaning,,1006466,217908,40.764756,-73.919801,11103,  63  ,4009077,Astoria,"(40.764756, -73.919801)"
1101 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2038090048,12/17/2021,Open,Site to be cleaned.,,1025607,241638,40.829819,-73.850557,10472,  78  ,2026435,Westchester-Unionport,"(40.829819, -73.850557)"
101-02 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,4017160001,11/29/2021,Open,Site downloaded for cleaning,,1021009,215264,40.757450,-73.867316,11368, 377  ,4042541,North Corona,"(40.75745, -73.867316)"
8512 19 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063440033,01/05/2022,Open,Property Research Required,,984254,160204,40.606400,-73.999986,11214, 278  ,3165771,Bensonhurst West,"(40.6064, -73.999986)"
41-05 37 STREET,QUEENS,02 QUEENS,Precinct 108,26,4002160020,09/23/2021,Open,Site downloaded for cleaning,,1004377,211530,40.747255,-73.927361,11101, 179  ,4003121,Hunters Point-Sunnyside-West Maspeth,"(40.747255, -73.927361)"
108-35 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4017800070,09/08/2021,Open,Graffiti Reported,,1023512,212868,40.750863,-73.858295,11368, 401  ,4044838,North Corona,"(40.750863, -73.858295)"
118 ST MARK'S PLACE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004350023,11/08/2021,Open,Graffiti Reported,,988527,204244,40.727279,-73.984569,10009,  32  ,1005831,East Village,"(40.727279, -73.984569)"
158 LOGAN STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041250033,11/12/2021,Open,Site downloaded for cleaning,,1018062,188085,40.682862,-73.878090,11208,1174  ,3323909,Cypress Hills-City Line,"(40.682862, -73.87809)"
1401 GLOVER STREET,BRONX,10 BRONX,Precinct 45,18,2039650037,12/07/2021,Open,Site downloaded for cleaning,,1026231,243811,40.835750,-73.848245,10462, 20601,2041459,Westchester-Unionport,"(40.83575, -73.848245)"
1425 YORK AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014700025,08/24/2021,Open,Graffiti Reported,,997539,219531,40.769229,-73.952024,10021, 132  ,1045934,Lenox Hill-Roosevelt Island,"(40.769229, -73.952024)"
1375 65 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057470048,09/24/2021,Open,Graffiti Reported,,984244,167013,40.625089,-74.000022,11219, 194  ,3142069,Dyker Heights,"(40.625089, -74.000022)"
132-09 BEACH CHANNEL DRIVE,QUEENS,14 QUEENS,Precinct 100,32,4162440004,07/01/2021,Open,Graffiti Reported,,1024835,150869,40.580684,-73.853894,11694, 928  ,4305335,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.580684, -73.853894)"
146-43 BEECH AVENUE,QUEENS,07 QUEENS,Precinct 109,20,4053750048,07/20/2021,Open,Site downloaded for cleaning,,1034773,215436,40.757854,-73.817633,11355, 861  ,4121288,East Flushing,"(40.757854, -73.817633)"
1074 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016030033,11/16/2021,Open,Site downloaded for cleaning,,1003392,192022,40.693617,-73.931790,11221, 289  ,3043274,Stuyvesant Heights,"(40.693617, -73.93179)"
6816 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3055760046,11/18/2021,Open,Site downloaded for cleaning,,986445,164156,40.617247,-73.992094,11204, 260  ,3134959,Bensonhurst West,"(40.617247, -73.992094)"
119-07 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092730077,07/19/2021,Open,Graffiti Reported,,1031187,194371,40.700056,-73.830724,11418, 144  ,4193692,Richmond Hill,"(40.700056, -73.830724)"
1111 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046000038,09/29/2021,Open,Graffiti Reported,,1005579,181492,40.664805,-73.923119,11212, 892  ,3099558,Brownsville,"(40.664805, -73.923119)"
266 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005070020,11/30/2021,Open,Site downloaded for cleaning,,986013,203032,40.723884,-73.993668,10012,  43  ,1007861,SoHo-TriBeCa-Civic Center-Little Italy,"(40.723884, -73.993668)"
61B SOUTH    8 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3021297501,05/26/2021,Open,Graffiti Reported,,993348,197914,40.709901,-73.967184,11249, 549  ,3347209,North Side-South Side,"(40.709901, -73.967184)"
147 GEORGE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031550035,06/24/2021,Open,Graffiti Reported,,1003953,195766,40.703988,-73.928938,11237, 427  ,3071939,Bushwick North,"(40.703988, -73.928938)"
549A MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016350070,10/03/2021,Open,Site downloaded for cleaning,,1002337,189684,40.687275,-73.934966,11221, 293  ,3044647,Stuyvesant Heights,"(40.687275, -73.934966)"
2800 FREDERICK DOUGLAS BOULEVARD,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020340061,11/05/2021,Open,Graffiti Reported,,1000824,239955,40.825281,-73.940114,10039, 234  ,1060583,Central Harlem North-Polo Grounds,"(40.825281, -73.940114)"
114 SCOTT AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029790001,10/13/2021,Open,Graffiti Reported,,1005507,198418,40.711263,-73.923325,11237, 449  ,3346083,East Williamsburg,"(40.711263, -73.923325)"
1272 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050570044,10/20/2021,Open,Site downloaded for cleaning,,998086,178261,40.655951,-73.950134,11226, 820  ,3116063,Prospect Lefferts Gardens-Wingate,"(40.655951, -73.950134)"
1271 NORTH RAILROAD AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,5036220033,06/24/2021,Open,Graffiti Reported,,952838,149425,40.576758,-74.113077,10306, 122  ,5118561,New Dorp-Midland Beach,"(40.576758, -74.113077)"
366 MACDONOUGH STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016750034,12/19/2021,Open,Site to be cleaned.,,1002959,187860,40.682290,-73.932545,11233, 297  ,3047092,Crown Heights North,"(40.68229, -73.932545)"
756 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017547502,06/30/2021,Open,Site downloaded for cleaning,,997484,192495,40.695021,-73.952276,11206, 253  ,3393745,Bedford,"(40.695021, -73.952276)"
66 SULLIVAN PLACE,BROOKLYN,09 BROOKLYN,Precinct 71,35,3013060037,09/24/2021,Open,Site downloaded for cleaning,,995739,181272,40.664203,-73.958800,11225, 327  ,3034457,Prospect Lefferts Gardens-Wingate,"(40.664203, -73.9588)"
90-02 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4091570001,06/08/2021,Open,Graffiti Reported,,1026234,187058,40.680008,-73.848632,11417,  54  ,4190793,Ozone Park,"(40.680008, -73.848632)"
1301 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2039350001,12/07/2021,Open,Site downloaded for cleaning,,1025234,243259,40.834270,-73.851895,10462, 222  ,2029018,Parkchester,"(40.83427, -73.851895)"
7305 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062030006,11/22/2021,Open,Site downloaded for cleaning,,984384,164161,40.617261,-73.999517,11204, 264  ,3158966,Bensonhurst West,"(40.617261, -73.999517)"
2368 WASHINGTON AVENUE,BRONX,06 BRONX,Precinct 48,15,2030530087,12/10/2021,Open,Graffiti Reported,,1014185,251465,40.856838,-73.891786,10458, 385  ,2011637,Claremont-Bathgate,"(40.856838, -73.891786)"
46 MARKET STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002747503,08/27/2021,Open,Graffiti Reported,,985825,198699,40.712060,-73.994319,10002,   8  ,1087489,Chinatown,"(40.71206, -73.994319)"
4615 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3007600104,11/04/2021,Open,Graffiti Reported,,983829,173616,40.643213,-74.001517,11220,  94  ,3012141,Sunset Park East,"(40.643213, -74.001517)"
304 EAST    8 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003900009,01/03/2022,Open,Graffiti Reported,,989719,203584,40.725472,-73.980280,10009,  2602,1004704,Lower East Side,"(40.725472, -73.98028)"
72 LEWIS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015910040,10/06/2021,Open,Graffiti Reported,,1001589,192528,40.695105,-73.937472,11206, 283  ,3339157,Stuyvesant Heights,"(40.695105, -73.937472)"
5321 FT HAMILTON PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056670002,12/02/2021,Open,Site downloaded for cleaning,,984048,171101,40.636310,-74.000728,11219, 218  ,3138855,Borough Park,"(40.63631, -74.000728)"
97-02 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4089380001,12/02/2021,Open,Site downloaded for cleaning,,1026306,192393,40.694646,-73.848368,11421,  30  ,4184478,Woodhaven,"(40.694646, -73.848368)"
40-25 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,26,4004060012,09/21/2021,Open,Site downloaded for cleaning,,1001343,213650,40.753080,-73.938306,11101,  33  ,4441065,Queensbridge-Ravenswood-Long Island City,"(40.75308, -73.938306)"
52-08 103 STREET,QUEENS,04 QUEENS,Precinct 110,21,4019400023,09/21/2021,Open,Graffiti Reported,,1023559,209552,40.741761,-73.858145,11368, 44301,4047674,Corona,"(40.741761, -73.858145)"
251 RALPH AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015130006,09/05/2021,Open,Graffiti Reported,,1005783,187379,40.680963,-73.922364,11233, 379  ,3040996,Stuyvesant Heights,"(40.680963, -73.922364)"
3233 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041270057,06/08/2021,Open,Graffiti Reported,,1018685,187998,40.682621,-73.875844,11208,117601,3092121,Cypress Hills-City Line,"(40.682621, -73.875844)"
7 WHIPPLE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022727503,05/26/2021,Open,Graffiti Reported,,999228,194474,40.700451,-73.945982,11206, 507  ,3000000,Bedford,"(40.700451, -73.945982)"
1915 MERMAID AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070190048,08/17/2021,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2021,988112,149307,40.576489,-73.986098,11224, 326  ,3189003,Seagate-Coney Island,"(40.576489, -73.986098)"
111 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004990037,12/01/2021,Open,Site downloaded for cleaning,,984279,202894,40.723574,-73.999895,10012,  49  ,1007622,SoHo-TriBeCa-Civic Center-Little Italy,"(40.723574, -73.999895)"
1005 EAST   37 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,45,3075650108,06/18/2021,Open,Graffiti Reported,,1000674,169731,40.632534,-73.940828,11210, 780  ,3206221,East Flatbush-Farragut,"(40.632534, -73.940828)"
1956 ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019230035,05/25/2021,Open,Site downloaded for cleaning,,997635,232359,40.804438,-73.951652,10026, 218  ,1058393,Central Harlem South,"(40.804438, -73.951652)"
2361 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580052,09/20/2021,Open,Site downloaded for cleaning,,987018,157743,40.599644,-73.990032,11214, 298  ,3185332,Bensonhurst East,"(40.599644, -73.990032)"
1762 PITKIN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035240016,01/04/2022,Open,Site to be cleaned.,,1009726,183410,40.670058,-73.908163,11212, 906  ,3081104,Brownsville,"(40.670058, -73.908163)"
301 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 9,01,1005210045,09/20/2021,Open,Site downloaded for cleaning,,986039,203293,40.724669,-73.993546,10012,  5502,1084825,West Village,"(40.724669, -73.993546)"
81-06 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,25,4012680001,09/09/2021,Open,Graffiti Reported,,1015894,213870,40.753644,-73.885785,11372, 283  ,4029194,Jackson Heights,"(40.753644, -73.885785)"
638 SARATOGA AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035360043,10/18/2021,Open,Graffiti Reported,,1007432,181671,40.665292,-73.916439,11212, 900  ,3081300,Brownsville,"(40.665292, -73.916439)"
2453 EAST    3 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071990002,10/18/2021,Open,Site downloaded for cleaning,,993339,154241,40.590028,-73.967275,11223, 37401,3195306,Gravesend,"(40.590028, -73.967275)"
1013 SURF AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072680234,10/29/2021,Open,Site downloaded for cleaning,,990272,148937,40.575472,-73.978322,11224, 350  ,3378131,West Brighton,"(40.575472, -73.978322)"
651 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051417501,10/21/2021,Open,Graffiti Reported,,992735,173002,40.641523,-73.969426,11218,1522  ,3397625,Flatbush,"(40.641523, -73.969426)"
740 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017530021,11/15/2021,Open,Site downloaded for cleaning,,997207,192451,40.694901,-73.953275,11205, 241  ,3048580,Bedford,"(40.694901, -73.953275)"
300 CANAL STREET,MANHATTAN,01 MANHATTAN,Precinct 1,01,1002100020,08/26/2021,Open,Site downloaded for cleaning,,983627,201462,40.719644,-74.002247,10013,  33  ,1002717,SoHo-TriBeCa-Civic Center-Little Italy,"(40.719644, -74.002247)"
1122 EASTERN PARKWAY,BROOKLYN,09 BROOKLYN,Precinct 71,35,3013960040,10/20/2021,Open,Site downloaded for cleaning,,1003230,182951,40.668815,-73.931582,11213, 351  ,3330834,Crown Heights North,"(40.668815, -73.931582)"
256 EAST  135 STREET,BRONX,01 BRONX,Precinct 40,08,2023170051,07/12/2021,Open,Site downloaded for cleaning,,1003858,234052,40.809084,-73.929183,10454,  19  ,2000770,Mott Haven-Port Morris,"(40.809084, -73.929183)"
104-21 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4017760061,08/12/2021,Open,Graffiti Reported,,1022839,212606,40.750147,-73.860726,11368, 403  ,4307628,North Corona,"(40.750147, -73.860726)"
337 WEST BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004750001,06/13/2021,Open,Site downloaded for cleaning,,983251,202526,40.722564,-74.003604,10013,  47  ,1007056,SoHo-TriBeCa-Civic Center-Little Italy,"(40.722564, -74.003604)"
123 PARK AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020290052,10/08/2021,Open,Graffiti Reported,,991236,192956,40.696294,-73.974807,11205, 211  ,3057962,Fort Greene,"(40.696294, -73.974807)"
348 13 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010360019,10/26/2021,Open,Graffiti Reported,,988371,181639,40.665233,-73.985146,11215, 149  ,3023511,Park Slope-Gowanus,"(40.665233, -73.985146)"
91-10 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4018480001,09/22/2021,Open,Site downloaded for cleaning,,1019384,209808,40.742482,-73.873210,11373, 461  ,4045614,Elmhurst,"(40.742482, -73.87321)"
82 GUERNSEY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026447503,06/25/2021,Open,Graffiti Reported,,997314,203012,40.723888,-73.952868,11222, 569  ,3388377,Greenpoint,"(40.723888, -73.952868)"
239 HIMROD STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032690049,07/21/2021,Open,Site downloaded for cleaning,,1006535,194440,40.700342,-73.919630,11237, 431  ,3074512,Bushwick North,"(40.700342, -73.91963)"
4722 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007680042,12/08/2021,Open,Graffiti Reported,,983654,173404,40.642631,-74.002148,11220,  94  ,3012433,Sunset Park East,"(40.642631, -74.002148)"
18 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3015110032,08/09/2021,Open,Site downloaded for cleaning,,1008712,188149,40.683069,-73.911801,11233, 373  ,3040950,Ocean Hill,"(40.683069, -73.911801)"
651 LEXINGTON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016200064,11/17/2021,Open,Site downloaded for cleaning,,1002394,190511,40.689515,-73.935008,11221, 291  ,3399452,Stuyvesant Heights,"(40.689515, -73.935008)"
40 BAY STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5000050095,12/04/2021,Open,Site downloaded for cleaning,,963225,172770,40.641050,-74.075791,10301,   3  ,5000033,West New Brighton-New Brighton-St. George,"(40.64105, -74.075791)"
6906 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3061640040,12/10/2021,Open,Property Research Required,,988705,162039,40.611435,-73.983955,11204, 258  ,3329025,Bensonhurst West,"(40.611435, -73.983955)"
405 57 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008390001,08/12/2021,Open,Site downloaded for cleaning,,979756,173277,40.642281,-74.016193,11220,  74  ,3015308,Sunset Park West,"(40.642281, -74.016193)"
50-12 90 STREET,QUEENS,04 QUEENS,Precinct 110,25,4018350060,06/16/2021,Open,Graffiti Reported,,1019080,208903,40.739999,-73.874312,11373, 471  ,4045176,Elmhurst,"(40.739999, -73.874312)"
2595 BEDFORD AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3052110031,10/12/2021,Open,Graffiti Reported,,996958,172465,40.640044,-73.954210,11226, 790  ,3120345,Erasmus,"(40.640044, -73.95421)"
705 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3023940001,08/06/2021,Open,Graffiti Reported,,995343,199259,40.713590,-73.959985,11211, 523  ,3335770,North Side-South Side,"(40.71359, -73.959985)"
341 EAST  140 STREET,BRONX,01 BRONX,Precinct 40,08,2023030063,08/20/2021,Open,Graffiti Reported,,1005301,234851,40.811263,-73.923954,10454,  39  ,2000646,Mott Haven-Port Morris,"(40.811263, -73.923954)"
1870 MORRIS AVENUE,BRONX,05 BRONX,Precinct 46,14,2028050008,09/15/2021,Open,Site downloaded for cleaning,,1009626,248565,40.848602,-73.908376,10453, 23301,2007616,Mount Hope,"(40.848602, -73.908376)"
173 BROAD STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5005410002,08/23/2021,Open,Site downloaded for cleaning,,961838,166715,40.624314,-74.080509,10304,  21  ,5014045,Stapleton-Rosebank,"(40.624314, -74.080509)"
28-27 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4006190023,11/09/2021,Open,Graffiti Reported,,1006232,219005,40.767767,-73.920642,11102,  71  ,4008612,Old Astoria,"(40.767767, -73.920642)"
8014 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062840007,11/30/2021,Open,Graffiti Reported,,983933,162114,40.611642,-74.001142,11214, 182  ,3163278,Bensonhurst West,"(40.611642, -74.001142)"
1404 GLOVER STREET,BRONX,10 BRONX,Precinct 45,18,2039690013,07/20/2021,Open,Site downloaded for cleaning,,1026223,243826,40.835822,-73.848317,10462, 20601,2041567,Westchester-Unionport,"(40.835822, -73.848317)"
99-22 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,4017140009,11/29/2021,Open,Site downloaded for cleaning,,1020490,215191,40.757252,-73.869190,11368, 377  ,4042489,North Corona,"(40.757252, -73.86919)"
426 SAINT NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019580057,09/14/2021,Open,Site downloaded for cleaning,,998346,236174,40.814551,-73.949296,10027, 215  ,1059442,Central Harlem North-Polo Grounds,"(40.814551, -73.949296)"
2844 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041560025,07/09/2021,Open,Site downloaded for cleaning,,1029886,247119,40.844842,-73.835058,10461, 26602,2045796,Pelham Bay-Country Club-City Island,"(40.844842, -73.835058)"
937 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3046980043,08/11/2021,Open,Graffiti Reported,,1003613,176225,40.650353,-73.930220,11203, 862  ,3102877,Rugby-Remsen Village,"(40.650353, -73.93022)"
405 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030320001,12/10/2021,Open,Site downloaded for cleaning,,1013662,252134,40.858695,-73.893721,10458, 38302,2011214,Fordham South,"(40.858695, -73.893721)"
212 EAST  111 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016600043,12/19/2021,Open,Graffiti Reported,,1000358,228750,40.794528,-73.941825,10029, 180  ,1052483,East Harlem North,"(40.794528, -73.941825)"
918 GATES AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016370034,06/23/2021,Open,Graffiti Reported,,1004303,190249,40.688844,-73.927692,11221, 385  ,3044669,Stuyvesant Heights,"(40.688844, -73.927692)"
5 BAY   23 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063740048,12/07/2021,Open,Site downloaded for cleaning,,984428,159583,40.604695,-73.999359,11214, 284  ,3166862,Bensonhurst West,"(40.604695, -73.999359)"
4402 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007410042,12/28/2021,Open,Property Research Required,,984162,174045,40.644390,-74.000317,11220,  94  ,3011380,Sunset Park East,"(40.64439, -74.000317)"
1000 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046120006,09/29/2021,Open,Graffiti Reported,,1004650,180691,40.662609,-73.926470,11212, 884  ,3099932,Rugby-Remsen Village,"(40.662609, -73.92647)"
607 53 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008090001,08/08/2021,Open,Site downloaded for cleaning,,981633,173119,40.641848,-74.009430,11220, 100  ,3013992,Sunset Park East,"(40.641848, -74.00943)"
88-15 169 STREET,QUEENS,12 QUEENS,Precinct 103,27,4098230004,10/01/2021,Open,Site downloaded for cleaning,,1041777,197946,40.709806,-73.792501,11432, 460  ,4210145,Jamaica,"(40.709806, -73.792501)"
482 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016650012,11/29/2021,Open,Graffiti Reported,,1002385,188320,40.683553,-73.934613,11233, 295  ,3046412,Stuyvesant Heights,"(40.683553, -73.934613)"
98 FT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,07,1021370119,10/05/2021,Open,Site downloaded for cleaning,,999845,244845,40.838639,-73.943665,10032, 245  ,1063369,Washington Heights South,"(40.838639, -73.943665)"
